mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_loss,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6.85164704322815,0.11657341467269938,0.00614008903503418,0.0002190437319884054,0.1,huber,2,4,1000,"{'learning_rate': 0.1, 'loss': 'huber', 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 1000}",0.8662718716244531,0.8340255757373909,0.9106076825793359,0.8797386016835064,0.7986968721967643,0.8578681207642902,0.03847104353926513,1
7.276170492172241,0.11535754432654166,0.006314992904663086,0.0002164967255947198,0.1,huber,2,2,1000,"{'learning_rate': 0.1, 'loss': 'huber', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1000}",0.8662718716244531,0.8340255757373909,0.9106076825793359,0.8797386016835064,0.7986968721967643,0.8578681207642902,0.03847104353926513,1
3.5932575702667235,0.2224408884095475,0.004239082336425781,8.269420476102203e-05,0.1,huber,2,2,500,"{'learning_rate': 0.1, 'loss': 'huber', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",0.8626922732479296,0.8399626166530225,0.9100163275336784,0.8762286573477892,0.8002677172404629,0.8578335184045767,0.03665576297678758,3
3.9009124755859377,0.6897446212423193,0.004549646377563476,0.00034991357511641866,0.1,huber,2,4,500,"{'learning_rate': 0.1, 'loss': 'huber', 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.8626922732479296,0.8399626166530225,0.9100163275336784,0.8762286573477892,0.8002677172404629,0.8578335184045767,0.03665576297678758,3
13.917175483703613,0.4513958856519297,0.010460948944091797,0.00015628003052093852,0.1,huber,2,4,2000,"{'learning_rate': 0.1, 'loss': 'huber', 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 2000}",0.8665511519771774,0.8318767979110304,0.9093694420995024,0.8798189806635492,0.7978886135939055,0.857100997249033,0.038677562312689685,5
15.0272723197937,0.8139442061093183,0.010513925552368164,0.00042572799114932243,0.1,huber,2,2,2000,"{'learning_rate': 0.1, 'loss': 'huber', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 2000}",0.8665511519771774,0.8318767979110304,0.9093694420995024,0.8798189806635492,0.7978886135939055,0.857100997249033,0.038677562312689685,5
3.4314692974090577,0.012009390003921826,0.00432119369506836,0.00010384946252424098,0.1,huber,1,4,500,"{'learning_rate': 0.1, 'loss': 'huber', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 500}",0.8328792983617231,0.8630220251639154,0.9044948574001442,0.887920040832916,0.785467996104959,0.8547568435727315,0.042241099101754,7
13.540406513214112,0.09657387657804313,0.010861396789550781,0.0006387072739489105,0.01,huber,2,6,2000,"{'learning_rate': 0.01, 'loss': 'huber', 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 2000}",0.8473215911582904,0.8389704429856668,0.9102194930359971,0.8926115054646939,0.7802591679052818,0.853876440109986,0.04551835335986585,8
13.927233839035035,0.09329854470380891,0.010628557205200196,0.0004369971164086521,0.01,huber,1,2,2000,"{'learning_rate': 0.01, 'loss': 'huber', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 2000}",0.8438766383559858,0.8597401762027886,0.9141240869665912,0.8868195403221142,0.7636203431586177,0.8536361570012195,0.05098093878394723,9
13.60938220024109,0.06178922052849127,0.010254907608032226,0.0003022046821387858,0.01,huber,1,4,2000,"{'learning_rate': 0.01, 'loss': 'huber', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 2000}",0.8427703316510597,0.8556484949862495,0.9145105163715695,0.8890097998662299,0.7662340111894299,0.8536346308129078,0.05043457739261244,10
16.26436290740967,2.2026023466615103,0.011287975311279296,0.0014413241503225464,0.01,huber,2,2,2000,"{'learning_rate': 0.01, 'loss': 'huber', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 2000}",0.8421623203612344,0.8322311311757287,0.9127057321116336,0.8936023770448701,0.7858723633447956,0.8533147848076525,0.04531611818417318,11
14.36167540550232,0.5415811027747797,0.010800552368164063,0.000575005736167569,0.01,huber,2,4,2000,"{'learning_rate': 0.01, 'loss': 'huber', 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 2000}",0.8421623203612344,0.8322311311757287,0.9127057321116336,0.8936023770448701,0.7858723633447956,0.8533147848076525,0.04531611818417318,11
3.393412780761719,0.015417467415480645,0.004205894470214844,5.337071120063988e-05,0.1,huber,1,6,500,"{'learning_rate': 0.1, 'loss': 'huber', 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 500}",0.8248035506172094,0.8567595352381973,0.9088805413188676,0.8934904643031087,0.7798781953607308,0.8527624573676228,0.0467285836330762,13
13.598568201065063,0.4431886796131279,0.010347795486450196,0.0002465959295107006,0.01,huber,1,8,2000,"{'learning_rate': 0.01, 'loss': 'huber', 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 2000}",0.8372898914039686,0.8523593652661912,0.9098471096509299,0.8898207062024535,0.7728250011604954,0.8524284147368079,0.04745729258232623,14
6.912657022476196,0.04065962291440868,0.0062164306640625,0.0001561350540508991,0.1,huber,1,4,1000,"{'learning_rate': 0.1, 'loss': 'huber', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 1000}",0.8341078148985208,0.8610345392116573,0.9055400626965905,0.8847320168553009,0.7747464428356325,0.8520321752995403,0.0454043683927919,15
